time,value
0,18
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,18
19,18
20,18
21,18
22,18
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,30
47,30
48,30
49,30
50,30
51,30
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
66,30
67,30
68,30
69,30
70,30
71,30
72,30
73,30
74,30
75,30
76,30
77,30
78,30
79,30
80,30
81,30
82,30
83,30
84,30
85,30
86,30
87,30
88,30
89,30
90,30
91,45
92,45
93,45
94,45
95,45
96,45
97,45
98,45
99,45
100,45
101,45
102,45
103,45
104,45
105,45
106,45
107,45
108,45
109,45
110,45
111,45
112,45
113,45
114,45
115,45
116,45
117,45
118,45
119,45
120,45
121,45
122,45
123,45
124,45
125,45
126,45
127,45
128,45
129,45
130,45
131,45
132,45
133,45
134,45
135,45
136,45
137,45
138,45
139,45
140,45
141,57
142,57
143,57
144,57
145,57
146,57
147,57
148,57
149,57
150,57
151,57
152,57
153,57
154,57
155,57
156,57
157,57
158,57
159,57
160,57
161,57
162,57
163,57
164,57
165,57
166,57
167,57
168,57
169,57
170,57
171,57
172,57
173,57
174,57
175,57
176,57
177,57
178,57
179,57
180,75
181,75
182,75
183,75
184,75
185,75
186,75
187,75
188,75
189,75
190,75
191,75
192,75
193,75
194,75
195,75
196,75
197,75
198,75
199,75
200,75
201,75
202,75
203,75
204,75
205,75
206,75
207,75
208,75
209,75
210,75
211,75
212,75
213,85.5
214,85.5
215,85.5
216,85.5
217,85.5
218,85.5
219,85.5
220,85.5
221,85.5
222,85.5
223,85.5
224,85.5
225,85.5
226,85.5
227,85.5
228,85.5
229,85.5
230,85.5
231,85.5
232,85.5
233,85.5
234,85.5
235,85.5
236,85.5
237,85.5
238,85.5
239,85.5
240,85.5
241,85.5
242,102
243,102
244,102
245,102
246,102
247,102
248,102
249,102
250,102
251,102
252,102
253,102
254,102
255,102
256,102
257,102
258,102
259,102
260,102
261,102
262,102
263,102
264,102
265,102
266,102
267,112.5
268,112.5
269,112.5
270,112.5
271,112.5
272,112.5
273,112.5
274,112.5
275,112.5
276,112.5
277,112.5
278,112.5
279,112.5
280,112.5
281,112.5
282,112.5
283,112.5
284,112.5
285,112.5
286,112.5
287,112.5
288,112.5
289,130.5
290,130.5
291,130.5
292,130.5
293,130.5
294,130.5
295,130.5
296,130.5
297,130.5
298,130.5
299,130.5
300,130.5
301,130.5
302,130.5
303,130.5
304,130.5
305,130.5
306,130.5
307,130.5
308,130.5
309,142.5
310,142.5
311,142.5
312,142.5
313,142.5
314,142.5
315,142.5
316,142.5
317,142.5
318,142.5
319,142.5
320,142.5
321,142.5
322,142.5
323,142.5
324,142.5
325,142.5
326,142.5
327,142.5
328,157.5
329,157.5
330,157.5
331,157.5
332,157.5
333,157.5
334,157.5
335,157.5
336,157.5
337,157.5
338,157.5
339,157.5
340,157.5
341,157.5
342,157.5
343,157.5
344,157.5
345,169.5
346,169.5
347,169.5
348,169.5
349,169.5
350,169.5
351,169.5
352,169.5
353,169.5
354,169.5
355,169.5
356,169.5
357,169.5
358,169.5
359,169.5
360,169.5
361,187.5
362,187.5
363,187.5
364,187.5
365,187.5
366,187.5
367,187.5
368,187.5
369,187.5
370,187.5
371,187.5
372,187.5
373,187.5
374,187.5
375,187.5
376,198
377,198
378,198
379,198
380,198
381,198
382,198
383,198
384,198
385,198
386,198
387,198
388,198
389,198
390,214.5
391,214.5
392,214.5
393,214.5
394,214.5
395,214.5
396,214.5
397,214.5
398,214.5
399,214.5
400,214.5
401,214.5
402,214.5
403,225
404,225
405,225
406,225
407,225
408,225
409,225
410,225
411,225
412,225
413,225
414,225
415,243
416,243
417,243
418,243
419,243
420,243
421,243
422,243
423,243
424,243
425,243
426,243
427,255
428,255
429,255
430,255
431,255
432,255
433,255
434,255
435,255
436,255
437,255
438,270
439,270
440,270
441,270
442,270
443,270
444,270
445,270
446,270
447,270
448,270
449,282
450,282
451,282
452,282
453,282
454,282
455,282
456,282
457,282
458,282
459,300
460,300
461,300
462,300
463,300
464,300
465,300
466,300
467,300
468,300
469,310.5
470,310.5
471,310.5
472,310.5
473,310.5
474,310.5
475,310.5
476,310.5
477,310.5
478,310.5
479,327
480,327
481,327
482,327
483,327
484,327
485,327
486,327
487,327
488,337.5
489,337.5
490,337.5
491,337.5
492,337.5
493,337.5
494,337.5
495,337.5
496,337.5
497,355.5
498,355.5
499,355.5
500,355.5
501,355.5
502,355.5
503,355.5
504,355.5
505,367.5
506,367.5
507,367.5
508,367.5
509,367.5
510,367.5
511,367.5
512,367.5
513,382.5
514,382.5
515,382.5
516,382.5
517,382.5
518,382.5
519,382.5
520,382.5
521,394.5
522,394.5
523,394.5
524,394.5
525,394.5
526,394.5
527,394.5
528,394.5
529,412.5
530,412.5
531,412.5
532,412.5
533,412.5
534,412.5
535,412.5
536,412.5
537,423
538,423
539,423
540,423
541,423
542,423
543,423
544,439.5
545,439.5
546,439.5
547,439.5
548,439.5
549,439.5
550,439.5
551,450
552,450
553,450
554,450
555,450
556,450
557,450
558,468
559,468
560,468
561,468
562,468
563,468
564,468
565,480
566,480
567,480
568,480
569,480
570,480
571,480
572,495
573,495
574,495
575,495
576,495
577,495
578,507
579,507
580,507
581,507
582,507
583,507
584,525
585,525
586,525
587,525
588,525
589,525
590,535.5
591,535.5
592,535.5
593,535.5
594,535.5
595,535.5
596,535.5
597,552
598,552
599,552
600,552
601,552
602,562.5
603,562.5
604,562.5
605,562.5
606,562.5
607,562.5
608,580.5
609,580.5
610,580.5
611,580.5
612,580.5
613,580.5
614,592.5
615,592.5
616,592.5
617,592.5
618,592.5
619,607.5
620,607.5
621,607.5
622,607.5
623,607.5
624,607.5
625,619.5
626,619.5
627,619.5
628,619.5
629,619.5
630,637.5
631,637.5
632,637.5
633,637.5
634,637.5
635,648
636,648
637,648
638,648
639,648
640,648
641,664.5
642,664.5
643,664.5
644,664.5
645,664.5
646,675
647,675
648,675
649,675
650,675
651,693
652,693
653,693
654,693
655,693
656,705
657,705
658,705
659,705
660,720
661,720
662,720
663,720
664,720
665,732
666,732
667,732
668,732
669,732
670,750
671,750
672,750
673,750
674,760.5
675,760.5
676,760.5
677,760.5
678,760.5
679,777
680,777
681,777
682,777
683,787.5
684,787.5
685,787.5
686,787.5
687,787.5
688,805.5
689,805.5
690,805.5
691,805.5
692,817.5
693,817.5
694,817.5
695,817.5
696,832.5
697,832.5
698,832.5
699,832.5
700,832.5
701,844.5
702,844.5
703,844.5
704,844.5
705,862.5
706,862.5
707,862.5
708,862.5
709,873
710,873
711,873
712,873
713,889.5
714,889.5
715,889.5
716,889.5
717,900
718,900
719,900
720,900
721,918
722,918
723,918
724,918
725,930
726,930
727,930
728,930
729,945
730,945
731,945
732,957
733,957
734,957
735,957
736,975
737,975
738,975
739,975
740,985.5
741,985.5
742,985.5
743,985.5
744,1002
745,1002
746,1002
747,1012.5
748,1012.5
749,1012.5
750,1012.5
751,1030.5
752,1030.5
753,1030.5
754,1042.5
755,1042.5
756,1042.5
757,1042.5
758,1057.5
759,1057.5
760,1057.5
761,1069.5
762,1069.5
763,1069.5
764,1069.5
765,1087.5
766,1087.5
767,1087.5
768,1098
769,1098
770,1098
771,1098
772,1114.5
773,1114.5
774,1114.5
775,1125
776,1125
777,1125
778,1143
779,1143
780,1143
781,1143
782,1155
783,1155
784,1155
785,1170
786,1170
787,1170
788,1182
789,1182
790,1182
791,1200
792,1200
793,1200
794,1210.5
795,1210.5
796,1210.5
797,1227
798,1227
799,1227
800,1227
801,1237.5
802,1237.5
803,1237.5
804,1255.5
805,1255.5
806,1255.5
807,1267.5
808,1267.5
809,1267.5
810,1282.5
811,1282.5
812,1282.5
813,1294.5
814,1294.5
815,1294.5
816,1312.5
817,1312.5
818,1312.5
819,1323
820,1323
821,1323
822,1339.5
823,1339.5
824,1339.5
825,1350
826,1350
827,1368
828,1368
829,1368
830,1380
831,1380
832,1380
833,1395
834,1395
835,1395
836,1407
837,1407
838,1407
839,1425
840,1425
841,1435.5
842,1435.5
843,1435.5
844,1452
845,1452
846,1452
847,1462.5
848,1462.5
849,1462.5
850,1480.5
851,1480.5
852,1492.5
853,1492.5
854,1492.5
855,1507.5
856,1507.5
857,1507.5
858,1519.5
859,1519.5
860,1537.5
861,1537.5
862,1537.5
863,1548
864,1548
865,1548
866,1564.5
867,1564.5
868,1575
869,1575
870,1575
871,1593
872,1593
873,1605
874,1605
875,1605
876,1620
877,1620
878,1632
879,1632
880,1632
881,1650
882,1650
883,1660.5
884,1660.5
885,1660.5
886,1677
887,1677
888,1687.5
889,1687.5
890,1687.5
891,1705.5
892,1705.5
893,1717.5
894,1717.5
895,1732.5
896,1732.5
897,1732.5
898,1744.5
899,1744.5
900,1762.5
901,1762.5
902,1762.5
903,1773
904,1773
905,1789.5
906,1789.5
907,1800
908,1800
909,1800
910,1818
911,1818
912,1830
913,1830
914,1845
915,1845
916,1845
917,1857
918,1857
919,1875
920,1875
921,1885.5
922,1885.5
923,1902
924,1902
925,1902
926,1912.5
927,1912.5
928,1930.5
929,1930.5
930,1942.5
931,1942.5
932,1957.5
933,1957.5
