time,value
0,800
1,838
2,864
3,900
4,938
5,976
6,1000
7,1038
8,1076
9,1100
10,1138
11,1176
12,1214
13,1238
14,1276
15,1314
16,1338
17,1376
18,1414
19,1450
20,1476
21,1514
22,1550
23,1576
24,1614
25,1650
26,1688
27,1714
28,1750
29,1788
30,1814
31,1850
32,1888
33,1926
34,1950
35,1988
36,2026
37,2088
38,2150
39,2214
40,2276
41,2338
42,2400
43,2464
44,2526
45,2600
46,2664
47,2726
48,2788
49,2850
50,2914
51,2976
52,3038
53,3100
54,3164
55,3226
56,3300
57,3364
58,3426
59,3488
60,3550
61,3614
62,3676
63,3738
64,3800
65,3864
66,3938
67,4000
68,4064
69,4126
70,4188
71,4250
72,4314
73,4388
74,4450
75,4526
76,4600
77,4664
78,4738
79,4814
80,4876
81,4950
82,5026
83,5088
84,5164
85,5238
86,5300
87,5376
88,5450
89,5514
90,5588
91,5664
92,5726
93,5800
94,5876
95,5938
96,6014
97,6088
98,6150
99,6226
100,6300
101,6364
102,6438
103,6500
104,6576
105,6650
106,6714
107,6788
108,6864
109,6900
110,6950
111,6988
112,7038
113,7076
114,7126
115,7176
116,7214
117,7264
118,7300
119,7350
120,7388
121,7438
122,7476
123,7526
124,7564
125,7614
126,7650
127,7700
128,7750
129,7788
130,7838
131,7876
132,7926
133,7964
134,8014
135,8050
136,8100
137,8138
138,8188
139,8226
140,8276
141,8314
142,8364
143,8414
144,8450
145,8450
146,8450
147,8450
148,8450
149,8450
150,8450
151,8450
152,8450
153,8450
154,8450
155,8450
156,8450
157,8450
158,8450
159,8450
160,8450
161,8450
162,8450
163,8450
164,8450
165,8450
166,8450
167,8450
168,8450
169,8450
170,8450
171,8450
172,8450
173,8450
174,8450
175,8450
176,8450
177,8450
178,8450
179,8450
180,8450
181,8414
182,8376
183,8338
184,8300
185,8264
186,8226
187,8188
188,8164
189,8126
190,8088
191,8050
192,8014
193,7976
194,7938
195,7900
196,7864
197,7826
198,7788
199,7750
200,7714
201,7676
202,7638
203,7600
204,7564
205,7526
206,7488
207,7464
208,7426
209,7388
210,7350
211,7314
212,7276
213,7238
214,7200
215,7164
216,7126
217,7076
218,7026
219,6964
220,6914
221,6864
222,6814
223,6764
224,6700
225,6650
226,6600
227,6550
228,6488
229,6438
230,6388
231,6338
232,6288
233,6226
234,6176
235,6126
236,6076
237,6026
238,5964
239,5914
240,5864
241,5814
242,5764
243,5700
244,5650
245,5600
246,5550
247,5488
248,5438
249,5388
250,5338
251,5288
252,5226
253,5176
254,5138
255,5088
256,5038
257,4988
258,4938
259,4888
260,4838
261,4788
262,4738
263,4688
264,4638
265,4588
266,4538
267,4488
268,4438
269,4388
270,4338
271,4288
272,4238
273,4200
274,4126
275,4050
276,3988
277,3914
278,3850
279,3788
280,3714
281,3650
282,3588
283,3526
284,3464
285,3414
286,3350
287,3288
288,3238
289,3176
290,3126
291,3076
292,3026
293,2976
294,2926
295,2876
296,2826
297,2776
298,2738
299,2688
300,2650
301,2600
302,2564
303,2526
304,2488
305,2450
306,2414
307,2376
308,2338
309,2300
310,2276
311,2238
312,2214
313,2176
314,2150
315,2126
316,2100
317,2076
318,2050
319,2026
320,2000
321,1988
322,1964
323,1950
324,1926
325,1914
326,1900
327,1888
328,1876
329,1864
330,1850
331,1838
332,1826
333,1826
334,1814
335,1814
336,1800
337,1800
338,1800
339,1800
340,1800
341,1800
342,1800
343,1800
344,1814
345,1814
346,1826
347,1826
348,1838
349,1850
350,1864
