time,value
0,1485
1,1485
2,1485
3,2135
4,2415
5,1672
6,3528
7,1764
8,1672
9,2415
10,3805
11,5940
12,7333
13,2785
14,7240
15,2878
16,3620
17,4084
18,2507
19,2228
20,2415
21,2878
22,1207
23,1207
24,1300
25,1577
26,1114
27,835
28,2692
29,1393
30,1949
31,2599
32,1393
33,1300
34,1672
35,1949
36,2692
37,3062
38,2970
39,1393
40,3062
41,5477
42,3528
43,3713
44,1949
45,2599
46,2692
47,1300
48,3434
49,2415
50,2692
51,2320
52,372
53,1764
54,743
55,1022
56,1485
57,1857
58,2785
59,743
60,835
61,743
62,930
63,3434
64,3062
65,743
66,372
67,279
68,92
69,1857
70,279
71,1672
72,1114
73,2785
74,2507
75,1485
76,1672
77,1949
78,1672
79,2692
80,2692
81,1300
82,1022
83,1764
84,1672
85,1672
86,1577
87,1114
88,1207
89,1022
90,1393
91,1393
92,650
93,1764
94,2043
95,1393
96,2785
97,1672
98,650
99,1022
100,1764
101,1485
102,2415
103,1300
104,187
105,187
106,1485
107,2785
108,2228
109,5105
110,743
111,1949
112,930
113,650
114,1485
115,1949
116,1672
117,2320
118,1764
119,4455
120,2878
121,1857
122,1764
123,1764
124,2878
125,930
126,1393
127,1577
128,1022
129,3342
130,1114
131,2135
132,2692
133,2135
134,2043
135,1949
136,2878
137,930
138,1485
139,372
140,1949
141,1949
142,2135
143,2507
144,743
145,1672
146,1857
147,3434
148,2043
149,2692
150,2970
151,2415
152,6127
153,5477
154,6032
155,6683
156,4547
157,3528
158,2599
159,3249
160,2043
161,2320
162,2599
163,5569
164,1300
165,464
166,2320
167,1764
168,2599
169,3992
170,3713
171,2228
172,2785
173,2507
174,2228
175,1300
176,2599
177,2228
178,1857
179,2228
180,2970
181,2228
182,3713
183,3713
184,3805
185,3157
186,3157
187,3992
188,7147
189,2878
190,930
191,1764
192,2135
193,1207
194,1857
195,1577
196,1393
197,1485
198,1672
199,1672
200,1207
201,2135
202,2970
203,2785
204,2043
205,835
206,2415
207,1672
208,2228
209,1672
210,2320
211,3157
212,2320
213,1672
214,187
215,1577
216,1300
217,2507
218,5662
219,4084
220,4177
221,6590
222,3713
223,1672
224,2507
225,1207
226,2043
227,1393
228,2043
229,2135
230,1393
231,1207
232,1300
233,464
234,835
235,1764
236,2970
237,1857
238,1393
239,1393
240,3157
241,1672
242,2692
243,2415
244,743
245,1949
246,930
247,4547
248,3713
249,5290
250,3713
251,2878
252,1764
253,1949
254,2043
255,1485
256,3434
257,835
258,835
259,835
260,2135
261,2507
262,1949
263,3713
264,2043
265,3249
266,1114
267,1949
268,2785
269,558
270,1114
271,3528
272,4084
273,2228
274,3062
275,2692
276,3620
277,3713
278,3342
279,2043
280,1485
281,1857
282,1207
283,1114
284,2692
285,2415
286,2228
287,3528
288,3342
289,3157
290,6127
291,3528
292,1764
293,3713
294,4084
295,4270
296,1857
297,3157
298,2507
299,1485
300,1207
301,1022
302,1114
303,187
304,558
305,1300
306,3713
307,5569
308,5105
309,2507
310,2970
311,2320
312,2228
313,2135
314,3992
315,2785
316,2878
317,1672
318,3528
319,1764
320,2043
321,4455
322,5755
323,4363
324,2320
325,930
326,930
327,3062
328,2970
329,5105
330,6590
331,6590
332,2692
333,1114
334,650
335,1485
336,2692
337,3434
338,2415
339,1672
340,2415
341,1949
342,3528
343,930
344,835
345,372
346,650
347,558
348,835
349,1577
350,1577
351,650
352,279
353,650
354,835
355,1207
356,1577
357,2785
358,5198
359,2507
360,2878
361,2507
362,3992
363,2043
364,2785
365,3434
366,1393
367,2320
368,3900
369,4734
370,1949
371,835
372,2599
373,2599
374,2970
375,1764
376,2692
377,3062
378,3992
379,1672
380,2507
381,2320
382,3992
383,5105
384,7612
385,5662
386,2785
387,558
388,1857
389,1672
390,1300
391,1207
392,1393
393,1485
394,1672
395,1672
396,2135
397,650
398,2043
399,2135
400,1022
401,1300
402,2228
403,3713
404,4455
405,3434
406,2507
407,1022
408,1022
409,2228
410,558
411,1207
412,2692
413,2599
414,1393
415,2785
416,4919
417,835
418,3713
419,1672
420,3249
421,2228
422,1114
423,2692
424,2692
425,1857
426,2507
427,3992
428,2320
429,1207
430,2415
431,2507
432,1857
433,2135
434,2692
435,1764
436,2043
437,1022
438,650
439,1577
440,558
441,1114
442,1114
443,1022
444,2878
445,2692
446,1764
447,2878
448,835
449,650
450,1300
451,930
452,1207
453,2320
454,1672
455,3342
456,4455
457,99
458,3434
459,2507
460,1764
461,3249
462,1207
463,3620
464,743
465,1393
466,1577
467,1114
468,1300
469,2599
470,650
471,2599
472,3620
473,2692
474,930
475,930
476,1672
477,2228
478,1672
479,1022
480,1022
481,3062
482,3157
483,2970
484,4084
485,1393
486,1672
487,1393
488,2228
489,2415
490,2320
491,1764
492,2135
493,1485
494,930
495,650
496,372
497,558
498,930
499,5848
500,1022
501,743
502,835
503,930
504,7054
505,9468
506,5848
507,2692
508,1485
509,2135
510,2135
511,3062
512,1577
513,3620
514,2692
515,1857
516,2599
517,2320
518,2415
519,1485
520,2599
521,5569
522,3713
523,2415
524,2599
525,1949
526,1672
527,2135
528,3062
529,1393
530,2320
531,743
532,1300
533,1114
534,1857
535,1857
536,650
537,1022
538,4270
539,1764
540,3249
541,2320
542,3434
543,1672
544,1949
545,2043
546,1207
547,1672
548,1672
549,464
550,279
551,372
552,1393
553,1207
554,2043
555,2320
556,1577
557,2135
558,2043
559,2320
560,1672
561,3342
562,1577
563,1672
564,2043
565,3249
566,4455
567,4455
568,3062
569,1022
570,835
571,2599
572,3805
573,4919
574,4270
575,1577
576,2507
577,1857
578,3249
579,3992
580,4084
581,2135
582,3805
583,930
584,4363
585,4919
586,1022
587,2507
588,2043
589,2415
590,6590
591,2228
592,2135
593,1485
594,1577
595,2320
596,1764
597,1949
598,3249
599,1672
600,1949
601,2692
602,1022
603,1857
604,1300
605,1207
606,1857
607,2228
608,2970
609,2970
610,2692
611,7333
612,3713
613,3342
614,2135
615,4919
616,1857
617,2135
618,1393
619,1857
620,1207
621,1300
622,2228
623,930
624,1485
625,4547
626,3062
627,2228
628,2507
629,2970
630,1207
631,2692
632,1764
633,3062
634,1949
635,2228
636,3157
637,4177
638,2043
639,2507
640,3434
641,3157
642,2878
643,1022
644,1949
645,2228
646,2228
647,2970
648,3434
649,1022
650,2785
651,2599
652,1949
653,2970
654,2785
655,2415
656,2228
657,3528
658,3900
659,2320
660,1764
661,1764
662,1207
663,2320
664,3249
665,1857
666,1764
667,1577
668,1300
669,1393
670,2599
671,9468
672,5755
673,5755
674,3805
675,5569
676,5755
677,5385
678,4642
679,8632
680,2970
681,2043
682,2043
683,3062
684,3528
685,2320
686,1300
687,2228
688,1577
689,1485
690,2135
691,2228
692,1949
693,1577
694,1577
695,1949
696,2970
697,1672
698,2043
699,4642
700,2415
701,1577
702,1857
703,2692
704,2320
705,3342
706,2320
707,2228
708,2043
709,3528
710,3992
711,5848
712,1114
713,3249
714,1949
715,4084
716,3249
717,2599
718,8447
719,4827
720,3528
721,2970
722,2043
723,2415
724,2320
725,4734
726,2320
727,1485
728,2599
729,2970
730,2415
731,5662
732,2415
733,1764
734,3805
735,4919
736,2507
737,2043
738,2043
739,3528
740,3713
741,1577
742,3528
743,3900
744,2878
745,1207
746,2043
747,1022
748,3342
749,2970
750,2320
751,2228
752,2415
753,1949
754,2415
755,3528
756,3434
757,2507
758,1393
759,1764
760,1485
761,2415
762,930
763,1393
764,4084
765,6219
766,5290
767,3900
768,1577
769,2507
770,1857
771,2785
772,4084
773,2135
774,2785
775,2785
776,2415
777,2599
778,1857
779,2135
780,2692
781,3528
782,2507
783,1207
784,1672
785,1393
786,1857
787,2785
788,1577
789,1857
790,1949
791,3434
792,3528
793,2415
794,3342
795,4084
796,2228
797,5290
798,4084
799,930
